id,nom_bureau,categorie,Code_postal,ville,Code_INSEE,lat,lng,latlong
00004A,ANGLEFORT RP,Relais poste commer??ant,1350,ANGLEFORT,1010,45.913897,5.809086,45.913897
00007A,BELLEGARDE ARLOD RP,Relais poste commer??ant,1200,BELLEGARDE SUR VALSERINE,1033,46.097553,5.815026,46.097553
00008A,ARS SUR FORMANS BP,Bureau de Poste,1480,ARS SUR FORMANS,1021,45.992899,4.821718,45.992899
00009A,ARTEMARE BP,Bureau de Poste,1510,ARTEMARE,1022,45.874238,5.692603,45.874238
00012A,BEAUPONT RP,Relais poste commer??ant,1270,BEAUPONT,1029,46.410523,5.264468,46.410523
00013A,BEAUREGARD AP,Agence postale communale,1480,BEAUREGARD,1030,46.002912,4.751093,46.002912
00015A,BELIGNEUX CAMP DE LA VALBONNE BP,Bureau de Poste,1360,BELIGNEUX,1032,45.848872,5.125244,45.848872
00016A,BELLEGARDE SUR VALSERINE PAL,Bureau de Poste,1200,BELLEGARDE SUR VALSERINE,1033,46.107098,5.824684,46.107098
00020A,BEYNOST BP,Bureau de Poste,1700,BEYNOST,1043,45.836577,5.000149,45.836577
00024A,BOLOZON AP,Agence postale communale,1450,BOLOZON,1051,46.19212,5.473216,46.19212
00028A,CORGENON RP,Relais poste commer??ant,1310,BUELLAS,1065,46.198072,5.159356,46.198072
00037A,CHAMPDOR AP,Agence postale communale,1110,CHAMPDOR,1080,46.016655,5.596165,46.016655
00039A,CHANAY AP,Agence postale communale,1420,CHANAY,1082,46.005389,5.785069,46.005389
00045A,CHATILLON LA PALUD AP,Agence postale communale,1320,CHATILLON LA PALUD,1092,45.972564,5.254418,45.972564
00052A,CHEVRY AP,Agence postale communale,1170,CHEVRY,1103,46.280826,6.039618,46.280826
00057A,CONDEISSIAT AP,Agence postale communale,1400,CONDEISSIAT,1113,46.156985,5.079904,46.156985
00058A,CONFORT RP,Relais poste commer??ant,1200,CONFORT,1114,46.149965,5.822667,46.149965
00066A,DIVONNE LES BAINS BP,Bureau de Poste,1220,DIVONNE LES BAINS,1143,46.35689,6.142471,46.35689
00072A,FEILLENS BP,Bureau de Poste,1570,FEILLENS,1159,46.335753,4.889533,46.335753
00074A,FOISSIAT RP,Relais poste commer??ant,1340,FOISSIAT,1163,46.37005158,5.17524029,46.37005158
00084A,JUJURIEUX AP,Agence postale communale,1640,JUJURIEUX,1199,46.0423,5.4102,46.0423
00106A,MONTLUEL BP,Bureau de Poste,1120,MONTLUEL,1262,45.849798,5.057299,45.849798
