date,name,category,value
1/1/2000,Coca-Cola,Beverages,72537
1/1/2000,Microsoft,Technology,70196
1/1/2000,IBM,Business Services,53183
1/1/2000,Intel,Technology,39048
1/1/2000,Nokia,Technology,38528
1/1/2000,GE,Diversified,38127
1/1/2000,Ford,Automotive,36368
1/1/2000,Disney,Media,33553
1/1/2000,McDonald's,Restaurants,27859
1/1/2000,AT&T,Telecommunications,25548
1/1/2000,Marlboro,Tobacco,22110
1/1/2000,Mercedes-Benz,Automotive,21104
1/1/2000,HP,Electronics,20572
1/1/2000,Cisco,Business Services,20067
1/1/2000,Toyota,Automotive,18823
1/1/2000,Citi,Financial Services,18809
1/1/2000,Gillette,FMCG,17358
1/1/2000,Sony,Electronics,16409
1/1/2000,American Express,Financial Services,16122
1/1/2000,Honda,Automotive,15244
1/1/2000,Compaq,Technology,14602
1/1/2000,NESCAF??,Beverages,13680
1/1/2000,BMW,Automotive,12969
1/1/2000,Kodak,Electronics,11822
1/1/2000,Heinz,FMCG,11742
1/1/2000,Budweiser,Alcohol,10684
1/1/2000,Xerox,Business Services,9699
1/1/2000,Dell,Electronics,9476
1/1/2000,Gap,Apparel,9316
1/1/2000,Nike,Sporting Goods,8015
1/1/2000,Volkswagen,Automotive,7834
1/1/2000,Ericsson,Electronics,7805
1/1/2000,Kellogg's,FMCG,7357
1/1/2000,Louis Vuitton,Luxury,6887
1/1/2000,Pepsi,Beverages,6636
1/1/2000,Apple,Technology,6594
1/1/2000,MTV,Media,6411
1/1/2000,Yahoo!,Media,6299
1/1/2000,SAP,Business Services,6135
1/1/2000,IKEA,Retail,6031
1/1/2000,Duracell,FMCG,5885
1/1/2000,Philips,Electronics,5481
1/1/2000,Samsung,Technology,5223
1/1/2000,Gucci,Luxury,5149
1/1/2000,Kleenex,FMCG,5144
1/1/2000,Reuters,Media,4876
1/1/2000,AOL,Media,4531
1/1/2000,Amazon,Technology,4528
1/1/2000,Motorola,Electronics,4445
1/1/2000,Colgate,FMCG,4417
1/1/2000,Wrigley,FMCG,4324
1/1/2000,Chanel,Luxury,4141
1/1/2000,adidas,Sporting Goods,3791
1/1/2000,Panasonic,Electronics,3734
1/1/2000,Rolex,Luxury,3561
1/1/2000,Hertz,Automotive,3438
1/1/2000,Bacardi,Alcohol,3187
1/1/2000,BP,Energy,3066
1/1/2000,Mo??t & Chandon,Alcohol,2799
1/1/2000,Shell,Energy,2786
1/1/2000,Burger King,Restaurants,2701
1/1/2000,Smirnoff,Alcohol,2443
1/1/2000,Barbie,Toys & Games,2315
1/1/2000,Heineken,Alcohol,2218
1/1/2000,Wall Street Journal,Media,2184
1/1/2000,Ralph Lauren,Apparel,1834
1/1/2000,Johnnie Walker,Alcohol,1541
1/1/2000,Hilton,Hospitality,1483
1/1/2000,Jack Daniel's,Alcohol,1480
1/1/2000,Armani,Luxury,1456
1/1/2000,Pampers,FMCG,1400
1/1/2000,Starbucks,Restaurants,1329
1/1/2000,Guinness,Alcohol,1224
1/1/2000,Financial Times,Media,1148
1/1/2000,Benetton,Apparel,1008
1/1/2001,Coca-Cola,Beverages,68945
1/1/2001,Microsoft,Technology,65068
1/1/2001,IBM,Business Services,52752
1/1/2001,GE,Diversified,42396
1/1/2001,Nokia,Technology,35035
1/1/2001,Intel,Technology,34665
1/1/2001,Disney,Media,32591
1/1/2001,Ford,Automotive,30092
1/1/2001,McDonald's,Restaurants,25289
1/1/2001,AT&T,Telecommunications,22828
1/1/2001,Marlboro,Tobacco,22053
1/1/2001,Mercedes-Benz,Automotive,21728
1/1/2001,Citi,Financial Services,19005
1/1/2001,Toyota,Automotive,18578
1/1/2001,HP,Electronics,17983
1/1/2001,Cisco,Business Services,17209
1/1/2001,American Express,Financial Services,16919
1/1/2001,Gillette,FMCG,15298
1/1/2001,Merrill Lynch,Financial Services,15015
1/1/2001,Sony,Electronics,15005
1/1/2001,Honda,Automotive,14638
1/1/2001,BMW,Automotive,13858
1/1/2001,NESCAF??,Beverages,13250
1/1/2001,Compaq,Technology,12354
1/1/2001,Oracle,Business Services,12224
1/1/2001,Budweiser,Alcohol,10838
1/1/2001,Kodak,Electronics,10801
1/1/2001,"Merck & Co., Inc.",Pharmaceuticals,9672
1/1/2001,Nintendo,Electronics,9460
1/1/2001,Pfizer,Pharmaceuticals,8951
1/1/2001,Gap,Apparel,8746
1/1/2001,Dell,Electronics,8269
1/1/2001,Goldman Sachs,Financial Services,7862
1/1/2001,Nike,Sporting Goods,7589
1/1/2001,Volkswagen,Automotive,7338
1/1/2001,Ericsson,Electronics,7069
1/1/2001,Heinz,FMCG,7062
1/1/2001,Louis Vuitton,Luxury,7053
1/1/2001,Kellogg's,FMCG,7005
1/1/2001,MTV,Media,6599
1/1/2001,Canon,Electronics,6580
1/1/2001,Samsung,Technology,6374
1/1/2001,SAP,Business Services,6307
1/1/2001,Pepsi,Beverages,6214
1/1/2001,Xerox,Business Services,6019
1/1/2001,IKEA,Retail,6005
1/1/2001,Pizza Hut,Restaurants,5978
1/1/2001,Harley-Davidson,Automotive,5532
1/1/2001,Apple,Technology,5464
1/1/2001,Gucci,Luxury,5363
1/1/2001,KFC,Restaurants,5261
1/1/2001,Reuters,Media,5236
1/1/2001,Sun Microsystems,Business Services,5149
1/1/2001,Kleenex,FMCG,5085
1/1/2001,Philips,Electronics,4900
1/1/2001,Colgate,FMCG,4572
1/1/2001,Wrigley,FMCG,4530
1/1/2001,AOL,Media,4495
1/1/2001,Yahoo!,Media,4378
1/1/2001,Avon,FMCG,4369
1/1/2001,Chanel,Luxury,4265
1/1/2001,Duracell,FMCG,4140
1/1/2001,Boeing,Diversified,4060
1/1/2001,Texas Instruments,Technology,4041
1/1/2001,Kraft,FMCG,4032
1/1/2001,Motorola,Electronics,3761
1/1/2001,Levi's,Apparel,3747
1/1/2001,Time,Media,3724
1/1/2001,Rolex,Luxury,3701
1/1/2001,adidas,Sporting Goods,3650
1/1/2001,Hertz,Automotive,3617
1/1/2001,Panasonic,Electronics,3490
1/1/2001,Tiffany & Co.,Luxury,3483
1/1/2001,BP,Energy,3247
1/1/2001,Bacardi,Alcohol,3204
1/1/2001,Amazon,Technology,3130
1/1/2001,Shell,Energy,2844
1/1/2001,Smirnoff,Alcohol,2594
1/1/2001,Mo??t & Chandon,Alcohol,2470
1/1/2001,Burger King,Restaurants,2426
1/1/2001,Mobil,Energy,2415
1/1/2001,Heineken,Alcohol,2266
1/1/2001,Wall Street Journal,Media,2184
1/1/2001,Barbie,Toys & Games,2037
1/1/2001,Ralph Lauren,Apparel,1910
1/1/2001,FedEx,Logistics,1885
1/1/2001,Nivea,FMCG,1782
1/1/2001,Starbucks,Restaurants,1757
1/1/2001,Johnnie Walker,Alcohol,1649
1/1/2001,Jack Daniel's,Alcohol,1583
1/1/2001,Armani,Luxury,1490
1/1/2001,Pampers,FMCG,1410
1/1/2001,Absolut,Alcohol,1378
1/1/2001,Guinness,Alcohol,1357
1/1/2001,Financial Times,Media,1310
1/1/2001,Hilton,Hospitality,1235
1/1/2001,Carlsberg,Alcohol,1075
1/1/2001,Siemens,Diversified,1029
1/1/2001,Swatch,FMCG,1004
1/1/2001,Benetton,Apparel,1002
1/1/2002,Coca-Cola,Beverages,69637
1/1/2002,Microsoft,Technology,64091
1/1/2002,IBM,Business Services,51188
1/1/2002,GE,Diversified,41311
1/1/2002,Intel,Technology,30861
1/1/2002,Nokia,Technology,29970
1/1/2002,Disney,Media,29256
1/1/2002,McDonald's,Restaurants,26375
1/1/2002,Marlboro,Tobacco,24151
1/1/2002,Mercedes-Benz,Automotive,21010
1/1/2002,Ford,Automotive,20403
