date,name,category,value
"Wednesday, January 22, 2020",Afghanistan,Asia,0
"Thursday, January 23, 2020",Afghanistan,Asia,0
"Friday, January 24, 2020",Afghanistan,Asia,0
"Saturday, January 25, 2020",Afghanistan,Asia,0
"Sunday, January 26, 2020",Afghanistan,Asia,0
"Monday, January 27, 2020",Afghanistan,Asia,0
"Tuesday, January 28, 2020",Afghanistan,Asia,0
"Wednesday, January 29, 2020",Afghanistan,Asia,0
"Thursday, January 30, 2020",Afghanistan,Asia,0
"Friday, January 31, 2020",Afghanistan,Asia,0
"Saturday, February 1, 2020",Afghanistan,Asia,0
"Sunday, February 2, 2020",Afghanistan,Asia,0
"Monday, February 3, 2020",Afghanistan,Asia,0
"Tuesday, February 4, 2020",Afghanistan,Asia,0
"Wednesday, February 5, 2020",Afghanistan,Asia,0
"Thursday, February 6, 2020",Afghanistan,Asia,0
"Friday, February 7, 2020",Afghanistan,Asia,0
"Saturday, February 8, 2020",Afghanistan,Asia,0
"Sunday, February 9, 2020",Afghanistan,Asia,0
"Monday, February 10, 2020",Afghanistan,Asia,0
"Tuesday, February 11, 2020",Afghanistan,Asia,0
"Wednesday, February 12, 2020",Afghanistan,Asia,0
"Thursday, February 13, 2020",Afghanistan,Asia,0
"Friday, February 14, 2020",Afghanistan,Asia,0
"Saturday, February 15, 2020",Afghanistan,Asia,0
"Sunday, February 16, 2020",Afghanistan,Asia,0
"Monday, February 17, 2020",Afghanistan,Asia,0
"Tuesday, February 18, 2020",Afghanistan,Asia,0
"Wednesday, February 19, 2020",Afghanistan,Asia,0
"Thursday, February 20, 2020",Afghanistan,Asia,0
"Friday, February 21, 2020",Afghanistan,Asia,0
"Saturday, February 22, 2020",Afghanistan,Asia,0
"Sunday, February 23, 2020",Afghanistan,Asia,0
"Monday, February 24, 2020",Afghanistan,Asia,1
"Tuesday, February 25, 2020",Afghanistan,Asia,1
"Wednesday, February 26, 2020",Afghanistan,Asia,1
"Thursday, February 27, 2020",Afghanistan,Asia,1
"Friday, February 28, 2020",Afghanistan,Asia,1
"Saturday, February 29, 2020",Afghanistan,Asia,1
"Sunday, March 1, 2020",Afghanistan,Asia,1
"Monday, March 2, 2020",Afghanistan,Asia,1
"Tuesday, March 3, 2020",Afghanistan,Asia,1
"Wednesday, March 4, 2020",Afghanistan,Asia,1
"Thursday, March 5, 2020",Afghanistan,Asia,1
"Friday, March 6, 2020",Afghanistan,Asia,1
"Saturday, March 7, 2020",Afghanistan,Asia,1
"Sunday, March 8, 2020",Afghanistan,Asia,4
"Monday, March 9, 2020",Afghanistan,Asia,4
"Tuesday, March 10, 2020",Afghanistan,Asia,5
"Wednesday, March 11, 2020",Afghanistan,Asia,7
"Thursday, March 12, 2020",Afghanistan,Asia,7
"Friday, March 13, 2020",Afghanistan,Asia,7
"Saturday, March 14, 2020",Afghanistan,Asia,11
"Sunday, March 15, 2020",Afghanistan,Asia,16
"Monday, March 16, 2020",Afghanistan,Asia,21
"Tuesday, March 17, 2020",Afghanistan,Asia,22
"Wednesday, March 18, 2020",Afghanistan,Asia,22
"Thursday, March 19, 2020",Afghanistan,Asia,22
"Friday, March 20, 2020",Afghanistan,Asia,24
"Saturday, March 21, 2020",Afghanistan,Asia,24
"Sunday, March 22, 2020",Afghanistan,Asia,40
"Monday, March 23, 2020",Afghanistan,Asia,40
"Tuesday, March 24, 2020",Afghanistan,Asia,74
"Wednesday, March 25, 2020",Afghanistan,Asia,84
"Thursday, March 26, 2020",Afghanistan,Asia,94
"Friday, March 27, 2020",Afghanistan,Asia,110
"Saturday, March 28, 2020",Afghanistan,Asia,110
"Sunday, March 29, 2020",Afghanistan,Asia,120
"Monday, March 30, 2020",Afghanistan,Asia,170
"Tuesday, March 31, 2020",Afghanistan,Asia,174
"Wednesday, April 1, 2020",Afghanistan,Asia,237
"Thursday, April 2, 2020",Afghanistan,Asia,273
"Friday, April 3, 2020",Afghanistan,Asia,281
"Saturday, April 4, 2020",Afghanistan,Asia,299
"Sunday, April 5, 2020",Afghanistan,Asia,349
"Monday, April 6, 2020",Afghanistan,Asia,367
"Tuesday, April 7, 2020",Afghanistan,Asia,423
"Wednesday, April 8, 2020",Afghanistan,Asia,444
"Thursday, April 9, 2020",Afghanistan,Asia,484
"Friday, April 10, 2020",Afghanistan,Asia,521
"Saturday, April 11, 2020",Afghanistan,Asia,555
"Sunday, April 12, 2020",Afghanistan,Asia,607
"Monday, April 13, 2020",Afghanistan,Asia,665
"Tuesday, April 14, 2020",Afghanistan,Asia,714
"Wednesday, April 15, 2020",Afghanistan,Asia,784
"Thursday, April 16, 2020",Afghanistan,Asia,840
"Friday, April 17, 2020",Afghanistan,Asia,906
"Saturday, April 18, 2020",Afghanistan,Asia,933
"Sunday, April 19, 2020",Afghanistan,Asia,996
"Monday, April 20, 2020",Afghanistan,Asia,1026
"Tuesday, April 21, 2020",Afghanistan,Asia,1092
"Wednesday, April 22, 2020",Afghanistan,Asia,1176
"Thursday, April 23, 2020",Afghanistan,Asia,1279
"Friday, April 24, 2020",Afghanistan,Asia,1351
"Saturday, April 25, 2020",Afghanistan,Asia,1463
"Sunday, April 26, 2020",Afghanistan,Asia,1531
"Monday, April 27, 2020",Afghanistan,Asia,1703
"Tuesday, April 28, 2020",Afghanistan,Asia,1828
"Wednesday, April 29, 2020",Afghanistan,Asia,1939
"Thursday, April 30, 2020",Afghanistan,Asia,2171
"Friday, May 1, 2020",Afghanistan,Asia,2335
"Saturday, May 2, 2020",Afghanistan,Asia,2469
"Sunday, May 3, 2020",Afghanistan,Asia,2704
"Monday, May 4, 2020",Afghanistan,Asia,2894
"Tuesday, May 5, 2020",Afghanistan,Asia,3224
"Wednesday, May 6, 2020",Afghanistan,Asia,3392
"Thursday, May 7, 2020",Afghanistan,Asia,3563
"Friday, May 8, 2020",Afghanistan,Asia,3778
"Saturday, May 9, 2020",Afghanistan,Asia,4033
"Sunday, May 10, 2020",Afghanistan,Asia,4402
"Monday, May 11, 2020",Afghanistan,Asia,4687
"Tuesday, May 12, 2020",Afghanistan,Asia,4963
"Wednesday, May 13, 2020",Afghanistan,Asia,5226
"Thursday, May 14, 2020",Afghanistan,Asia,5639
"Friday, May 15, 2020",Afghanistan,Asia,6053
"Saturday, May 16, 2020",Afghanistan,Asia,6402
"Sunday, May 17, 2020",Afghanistan,Asia,6664
"Monday, May 18, 2020",Afghanistan,Asia,7072
"Tuesday, May 19, 2020",Afghanistan,Asia,7653
"Wednesday, May 20, 2020",Afghanistan,Asia,8145
"Thursday, May 21, 2020",Afghanistan,Asia,8676
"Friday, May 22, 2020",Afghanistan,Asia,9216
"Saturday, May 23, 2020",Afghanistan,Asia,9998
"Sunday, May 24, 2020",Afghanistan,Asia,10582
"Monday, May 25, 2020",Afghanistan,Asia,11173
"Tuesday, May 26, 2020",Afghanistan,Asia,11831
"Wednesday, May 27, 2020",Afghanistan,Asia,12456
"Thursday, May 28, 2020",Afghanistan,Asia,13036
"Friday, May 29, 2020",Afghanistan,Asia,13659
"Saturday, May 30, 2020",Afghanistan,Asia,14525
"Sunday, May 31, 2020",Afghanistan,Asia,15205
"Monday, June 1, 2020",Afghanistan,Asia,15750
"Tuesday, June 2, 2020",Afghanistan,Asia,16509
"Wednesday, June 3, 2020",Afghanistan,Asia,17267
"Thursday, June 4, 2020",Afghanistan,Asia,18054
"Friday, June 5, 2020",Afghanistan,Asia,18969
"Saturday, June 6, 2020",Afghanistan,Asia,19551
"Sunday, June 7, 2020",Afghanistan,Asia,20342
"Monday, June 8, 2020",Afghanistan,Asia,20917
"Tuesday, June 9, 2020",Afghanistan,Asia,21459
"Wednesday, June 10, 2020",Afghanistan,Asia,22142
"Thursday, June 11, 2020",Afghanistan,Asia,22890
"Friday, June 12, 2020",Afghanistan,Asia,23546
"Saturday, June 13, 2020",Afghanistan,Asia,24102
"Sunday, June 14, 2020",Afghanistan,Asia,24766
"Monday, June 15, 2020",Afghanistan,Asia,25527
"Tuesday, June 16, 2020",Afghanistan,Asia,26310
